document_id,date_start,date_end,author.name,author.user_id,latitude,longitude,skitouring,rock_climbing,mountain_climbing,ice_climbing,hiking,snow_ice_mixed
1194460,2020-03-15,2020-03-15,Danièle,162988,722576.8184899739,5724224.745235581,True,False,False,False,False,False
1194458,2020-03-15,2020-03-15,Munch,567073,651679.3028775742,5617385.294573412,True,False,False,False,False,False
1202797,2020-03-14,2020-03-14,tcholpon,225264,757995.5332694411,5767082.166221941,True,False,False,False,False,False
1199467,2020-03-14,2020-03-14,padescuns,825108,757340.6308682387,5557760.433278799,True,False,False,False,False,False
1196126,2020-03-14,2020-03-14,lo_biarnes,539321,657416.4654209688,5642457.652728012,True,False,False,False,False,False
1196121,2020-03-14,2020-03-14,Déodat,165450,791684.1810134192,5679408.6850318285,True,False,False,False,False,False
1196041,2020-03-14,2020-03-14,Rozenn,6057,709109.4978132935,5682142.714405269,True,False,False,False,False,False
1195592,2020-03-14,2020-03-14,GlycoGene,695970,724101.1162774044,5768322.714019298,True,False,False,False,False,False
1195331,2020-03-14,2020-03-14,vincentbls,668103,222051.49297388562,5269575.996681498,True,False,False,False,False,False
1195309,2020-03-14,2020-03-14,olivier raimond,536291,820119.9466938104,5481331.319567975,True,False,False,False,False,False
1195180,2020-03-14,2020-03-14,Fred30,12091,776409.4012485058,5721019.597402151,True,False,False,False,False,False
1190471,2020-02-25,2020-02-25,Jé Rome,228976,772604.2552661161,5563941.503438007,True,False,False,False,False,False
1190415,2020-02-25,2020-02-25,Carcharoth,134029,720481.0966732678,5630345.457197712,True,False,False,False,False,False
1190033,2020-02-25,2020-02-25,Acharnay,2237,724720.4979241786,5584412.212179569,True,False,False,False,False,False
1189675,2020-02-25,2020-02-25,Christian Pierron,416974,755523.8892786694,5823136.576208155,True,False,False,False,False,False
1189667,2020-02-25,2020-02-25,Mathieu des Noes,7516,769235.4998187476,5535951.176375026,True,False,False,False,False,False
1189642,2020-02-25,2020-02-25,Pierre2310,1187839,767259.4757408726,5780045.289184784,True,False,False,False,False,False
1189630,2020-02-25,2020-02-25,Sylvain D,5441,727668.2380403843,5724381.707668226,True,False,False,False,False,False
1197840,2020-02-24,2020-02-24,marco167,331697,655839.7645036163,5563595.640906805,True,False,False,False,False,True
1190707,2020-02-23,2020-02-24,misscharlie,718340,272422.4921900812,5233897.0770460395,True,False,False,False,False,False
1190684,2020-02-24,2020-02-24,Jé Rome,228976,771682.2753232179,5557311.766343191,True,False,False,False,False,False
1190676,2020-02-23,2020-02-24,misscharlie,718340,268498.453988492,5234739.605050332,True,False,False,False,False,False
1190484,2020-02-24,2020-02-24,fkirchner,964,760356.6499143757,5511303.549866108,True,False,False,False,False,False
1190077,2020-02-24,2020-02-24,el touristo 74,301277,717557.6452890859,5756498.018143332,True,False,False,False,False,False
1189904,2020-02-24,2020-02-24,aurel69,786890,730085.3854508171,5774203.168866026,True,False,False,False,False,False
1189801,2020-02-24,2020-02-24,Toscano,8620,773268.1751381425,5572430.8235951355,True,False,False,False,False,False
1189793,2020-02-24,2020-02-24,guibouly,724988,-6081.521062939334,5265700.29975168,True,False,False,False,False,True
1189733,2020-02-24,2020-02-24,Acharnay,2237,719901.1432092655,5599668.196025004,True,False,False,False,False,False
1189585,2020-02-23,2020-02-24,sergemang,290355,791730.3804863583,5675443.189341565,True,False,False,False,False,False
1189462,2020-02-24,2020-02-24,D@vid,7085,758514.4502667321,5510441.746143191,True,False,False,False,False,False
1189410,2020-02-24,2020-02-24,cégé,419477,715739.5753654495,5756457.904926553,True,False,False,False,False,True
1189387,2020-02-24,2020-02-24,christian73,1071965,720913.0373805776,5731386.622642964,True,False,False,False,False,False
1189354,2020-02-24,2020-02-24,nico111,174431,724101.1162774044,5768322.714019298,True,False,False,False,False,False
1189284,2020-02-24,2020-02-24,janic,578085,-6037.68672284207,5267832.577671782,True,False,False,False,False,False
1194687,2020-02-23,2020-02-23,did73,326139,719090.8981775937,5636451.799391908,True,False,False,False,False,False
1193254,2020-02-23,2020-02-23,Alex Saunier,377,747883.8524431974,5817456.969697058,True,False,False,False,False,False
1190745,2020-02-22,2020-02-23,Jé Rome,228976,764209.868350484,5560762.5688549355,True,False,False,False,False,False
1190013,2020-02-23,2020-02-23,Acharnay,2237,657826.5901826504,5641207.451558163,True,False,False,False,False,False
1189800,2020-02-23,2020-02-23,Toscano,8620,769434.2359756555,5569625.867499211,True,False,False,False,False,False
1189735,2020-02-23,2020-02-23,Stephane Peiti,10525,762650.7882006024,5783986.784505502,True,False,False,False,False,False
1189698,2020-02-23,2020-02-23,joburg,414081,726374.7055573671,5771651.88770994,True,False,False,False,False,False
1083532,2019-02-21,2019-02-21,Jean-françois Couffignan,1992,-40848.07488939175,5288451.181816544,True,False,False,False,False,False
1083529,2019-02-21,2019-02-21,skiroad,9766,760800.1995617362,5532809.668988755,True,False,False,False,False,False
1083484,2019-02-21,2019-02-21,nico111,174431,720159.7374059862,5781917.768197948,True,False,False,False,False,False
1083445,2019-02-21,2019-02-21,Monod ch,605996,754843.3294938576,5824905.169056572,True,False,False,False,False,False
1083395,2019-02-21,2019-02-21,sylvain brondex,109575,750229.6189849367,5832132.821372176,True,False,False,False,False,False
1085392,2019-02-20,2019-02-20,Cédric Colomban,6952,732571.3606721195,5615227.901759426,True,False,False,False,False,False
1084988,2019-02-20,2019-02-20,christophe gourdel,134062,724241.2675163136,5726189.344404774,True,False,False,False,False,False
1083836,2019-02-20,2019-02-20,-Dav-,385914,722873.9971362115,5767875.895077847,True,False,False,False,False,False
1083516,2019-02-20,2019-02-20,achille,921408,729385.6197845837,5764104.316467199,True,False,False,False,False,False
1083483,2019-02-20,2019-02-20,alexandre.mary,126979,15411.125965165666,5279987.812591977,True,False,False,False,False,True
1083409,2019-02-20,2019-02-20,Carcharoth,134029,703564.896615862,5560538.967282198,True,False,False,False,False,False
1083327,2019-02-20,2019-02-20,Leo,922591,696889.1224127345,5632155.181665488,True,False,False,False,False,False
1083257,2019-02-20,2019-02-20,hedera,530894,676972.785335674,5649258.1950069545,True,False,False,False,False,False
1083224,2019-02-20,2019-02-20,Thierry Jeandel,742,726990.8966943069,5648174.6209322885,True,False,False,False,False,False
1083203,2019-02-20,2019-02-20,Rozenn,6057,615466.6353025199,5596192.777994977,True,False,False,False,False,False
1083174,2019-02-20,2019-02-20,Poeydo,118949,751449.3951812497,5822248.820562404,True,False,False,False,False,False
1083153,2019-02-20,2019-02-20,guillaume6474,704665,662416.6487195462,5650469.480862967,True,False,False,False,False,False
